,blockgroup,population,housing,education,transportation,year
0,160550017001,1747.0,701.0,1370.0,656.0,2019
1,160550017002,1226.0,695.0,1021.0,603.0,2019
2,160550017003,1735.0,766.0,1437.0,626.0,2019
3,160550018003,4108.0,1858.0,3289.0,1505.0,2019
4,160550018004,1388.0,542.0,1015.0,637.0,2019
5,160550018002,1542.0,1396.0,1374.0,344.0,2019
6,160550004011,3916.0,1664.0,3067.0,1776.0,2019
7,160550004012,1892.0,785.0,1526.0,745.0,2019
8,160550006021,1312.0,637.0,1114.0,528.0,2019
9,160550004021,5154.0,1947.0,3573.0,1866.0,2019
10,160550010022,2455.0,944.0,1997.0,1169.0,2019
11,160550003023,1402.0,576.0,1260.0,583.0,2019
12,160550003021,1459.0,625.0,1214.0,663.0,2019
13,160559400002,980.0,1108.0,852.0,345.0,2019
14,160550010013,1885.0,846.0,1437.0,839.0,2019
15,160550010012,2127.0,1031.0,1869.0,790.0,2019
16,160550006012,1604.0,831.0,1380.0,760.0,2019
17,160550006011,2600.0,1073.0,1970.0,997.0,2019
18,160550003012,3011.0,1207.0,2671.0,1470.0,2019
19,160550009004,1051.0,682.0,956.0,412.0,2019
20,160550002004,2754.0,990.0,2342.0,1172.0,2019
21,160550002003,1762.0,746.0,1531.0,843.0,2019
22,160550002005,1489.0,718.0,1147.0,445.0,2019
23,160550007001,4590.0,1628.0,3651.0,1836.0,2019
24,160550007002,11122.0,4042.0,7779.0,4766.0,2019
25,160550016002,1833.0,980.0,1532.0,945.0,2019
26,160550016001,758.0,357.0,578.0,390.0,2019
27,160550019001,1915.0,891.0,1491.0,834.0,2019
28,160550005001,8005.0,3198.0,5918.0,3724.0,2019
29,160550009001,2008.0,1069.0,1516.0,936.0,2019
30,160550009002,1690.0,989.0,1401.0,646.0,2019
31,160550013002,3094.0,1114.0,2333.0,1120.0,2019
32,160550015001,1361.0,597.0,1118.0,648.0,2019
33,160550011001,2397.0,881.0,2003.0,1133.0,2019
34,160550012002,1709.0,726.0,1287.0,799.0,2019
35,160550012003,3007.0,1208.0,2270.0,1411.0,2019
36,160550014002,1598.0,792.0,1440.0,911.0,2019
37,160550008002,1350.0,669.0,1169.0,600.0,2019
38,160550020002,2028.0,973.0,1725.0,781.0,2019
39,160550001002,2411.0,1274.0,2026.0,829.0,2019
40,160550015002,693.0,286.0,508.0,331.0,2019
41,160550006022,2841.0,1109.0,2208.0,1293.0,2019
42,160550008001,3439.0,1773.0,2949.0,1739.0,2019
43,160550020001,1376.0,957.0,1146.0,440.0,2019
44,160550005003,2949.0,1130.0,2163.0,1181.0,2019
45,160550001001,1563.0,1365.0,1320.0,615.0,2019
46,160550005002,3259.0,1232.0,2202.0,1519.0,2019
47,160550009003,1229.0,566.0,1097.0,551.0,2019
48,160550013001,1348.0,625.0,1088.0,764.0,2019
49,160550015003,1317.0,579.0,1104.0,779.0,2019
50,160550012001,1819.0,909.0,1623.0,555.0,2019
51,160550014001,1218.0,757.0,1079.0,587.0,2019
52,160550010011,2478.0,1050.0,2199.0,1211.0,2019
53,160550003011,3341.0,1437.0,2713.0,1331.0,2019
54,160550007003,4644.0,2231.0,4082.0,2443.0,2019
55,160550018001,1345.0,516.0,1181.0,610.0,2019
56,160550006023,2272.0,656.0,1578.0,940.0,2019
57,160550004022,3740.0,1314.0,2873.0,1911.0,2019
58,160550010021,2232.0,934.0,1765.0,827.0,2019
59,160550003022,4969.0,1878.0,3590.0,2204.0,2019
60,160830011001,821.0,389.0,711.0,529.0,2019
61,160830011003,2084.0,740.0,1655.0,755.0,2019
62,160830012003,2480.0,1018.0,1675.0,1043.0,2019
63,160830012002,1395.0,541.0,1113.0,841.0,2019
64,160830012004,3287.0,1192.0,2227.0,1581.0,2019
65,160830010004,1222.0,581.0,1030.0,569.0,2019
66,160830010005,1020.0,484.0,782.0,425.0,2019
67,160830010002,3342.0,1233.0,2595.0,1587.0,2019
68,160830008005,1184.0,476.0,1018.0,441.0,2019
69,160830007004,1257.0,464.0,856.0,522.0,2019
70,160830007003,1457.0,332.0,988.0,662.0,2019
71,160830007001,6486.0,2515.0,4489.0,3071.0,2019
72,160830006003,1206.0,503.0,942.0,492.0,2019
73,160830005001,1290.0,480.0,1021.0,570.0,2019
74,160830015002,972.0,508.0,773.0,496.0,2019
75,160830002002,1613.0,473.0,1124.0,632.0,2019
76,160830002003,1485.0,895.0,1250.0,672.0,2019
77,160830009002,2003.0,632.0,1544.0,821.0,2019
78,160830007005,1185.0,678.0,900.0,596.0,2019
79,160830002001,4011.0,1469.0,3009.0,1788.0,2019
80,160830010003,1567.0,599.0,1156.0,826.0,2019
81,160830008001,1348.0,456.0,807.0,471.0,2019
82,160830008004,1601.0,746.0,1293.0,794.0,2019
83,160830007002,2783.0,979.0,2104.0,1130.0,2019
84,160830009001,3137.0,1249.0,2427.0,1148.0,2019
85,160830012001,1376.0,487.0,933.0,498.0,2019
86,160830010001,1791.0,809.0,1218.0,851.0,2019
87,160159502004,1895.0,1132.0,1727.0,833.0,2019
88,160159502002,2096.0,1119.0,1711.0,770.0,2019
89,160010009003,1051.0,609.0,978.0,739.0,2019
90,160010009002,1148.0,444.0,1102.0,601.0,2019
91,160010023103,3248.0,1222.0,2596.0,1662.0,2019
92,160010023102,3513.0,1255.0,2505.0,1397.0,2019
93,160010102012,8830.0,3329.0,6506.0,3457.0,2019
94,160010102013,4630.0,1530.0,3446.0,1806.0,2019
95,160010002022,1244.0,564.0,1039.0,490.0,2019
96,160010002021,2163.0,848.0,1519.0,764.0,2019
97,160010007021,4458.0,1835.0,3562.0,1877.0,2019
98,160010008041,3159.0,1698.0,2849.0,1718.0,2019
99,160010003031,2211.0,1189.0,1926.0,915.0,2019
100,160010002012,756.0,355.0,595.0,322.0,2019
101,160010002011,1809.0,789.0,1473.0,729.0,2019
102,160010007012,1630.0,701.0,1377.0,1004.0,2019
103,160010007013,1786.0,943.0,1544.0,1060.0,2019
104,160010103352,2297.0,1110.0,2137.0,1553.0,2019
105,160010103351,14978.0,4476.0,10563.0,5861.0,2019
106,160010102252,3326.0,1509.0,2735.0,1403.0,2019
107,160010102251,3569.0,1512.0,2985.0,1313.0,2019
108,160010023132,1387.0,523.0,1196.0,789.0,2019
109,160010022241,1223.0,462.0,1027.0,561.0,2019
110,160010022243,1458.0,693.0,1281.0,627.0,2019
111,160010105041,4566.0,1751.0,3479.0,2263.0,2019
112,160010008052,1008.0,370.0,763.0,538.0,2019
113,160010003043,1302.0,479.0,974.0,667.0,2019
114,160010003041,2305.0,1237.0,1976.0,1258.0,2019
115,160010002024,1030.0,617.0,827.0,412.0,2019
116,160010002023,1112.0,429.0,916.0,479.0,2019
117,160010103133,15444.0,5592.0,11665.0,7083.0,2019
118,160010103312,3460.0,1236.0,2770.0,1691.0,2019
119,160010023104,2158.0,836.0,1508.0,910.0,2019
120,160010023024,2463.0,1273.0,1802.0,1064.0,2019
121,160010103332,3257.0,1238.0,2466.0,1615.0,2019
122,160010103333,2552.0,1026.0,1907.0,1015.0,2019
123,160010017004,2108.0,649.0,1615.0,1209.0,2019
124,160010014004,1725.0,826.0,1542.0,1048.0,2019
125,160010103342,3794.0,1477.0,3017.0,2000.0,2019
126,160010103341,3825.0,1220.0,2986.0,1748.0,2019
127,160010023122,1655.0,837.0,1463.0,849.0,2019
128,160010008022,984.0,457.0,789.0,595.0,2019
129,160010103212,2592.0,1113.0,1973.0,1349.0,2019
130,160010004003,1452.0,534.0,1009.0,714.0,2019
131,160010004005,1046.0,463.0,817.0,434.0,2019
132,160010004004,843.0,465.0,731.0,527.0,2019
133,160010022231,4985.0,1603.0,3823.0,2273.0,2019
134,160010105031,4611.0,1758.0,3317.0,2206.0,2019
135,160010008042,2143.0,1271.0,1842.0,948.0,2019
136,160010008043,1636.0,768.0,1410.0,1015.0,2019
137,160010003021,1248.0,518.0,1052.0,568.0,2019
138,160010011003,1224.0,597.0,977.0,569.0,2019
139,160010023023,837.0,412.0,811.0,573.0,2019
140,160010023021,1413.0,513.0,1142.0,691.0,2019
141,160010016001,1336.0,523.0,1171.0,831.0,2019
142,160010016002,2691.0,1061.0,2230.0,1332.0,2019
143,160010019001,2535.0,1067.0,2052.0,1203.0,2019
144,160010019002,984.0,408.0,866.0,586.0,2019
145,160010010002,2457.0,1002.0,1868.0,1273.0,2019
146,160010010001,2365.0,1333.0,2277.0,1477.0,2019
147,160010018002,1563.0,639.0,1319.0,650.0,2019
148,160010018001,1296.0,575.0,1068.0,513.0,2019
149,160010103131,6246.0,2119.0,4448.0,2653.0,2019
150,160010008023,1504.0,738.0,1268.0,683.0,2019
151,160010011002,1400.0,613.0,1134.0,638.0,2019
152,160010020002,2251.0,783.0,1689.0,1162.0,2019
153,160010020001,674.0,321.0,553.0,336.0,2019
154,160010020003,1184.0,584.0,843.0,350.0,2019
155,160010020004,533.0,423.0,517.0,340.0,2019
156,160010102211,6793.0,2520.0,5297.0,2066.0,2019
157,160010102212,1227.0,668.0,1167.0,690.0,2019
158,160010103322,1558.0,606.0,1301.0,703.0,2019
159,160010103321,13272.0,4460.0,9457.0,5952.0,2019
160,160010104014,3780.0,1300.0,3015.0,2104.0,2019
161,160010104012,11390.0,3304.0,7133.0,5346.0,2019
162,160010104013,5164.0,1794.0,3804.0,2261.0,2019
163,160010104011,2666.0,884.0,2009.0,1252.0,2019
164,160010021002,1528.0,621.0,1257.0,640.0,2019
165,160010012022,2592.0,1340.0,2189.0,1481.0,2019
166,160010012021,1395.0,724.0,1198.0,761.0,2019
167,160010015003,1225.0,478.0,940.0,502.0,2019
168,160010015001,1390.0,688.0,1245.0,751.0,2019
169,160010024103,1615.0,544.0,1310.0,772.0,2019
170,160010024104,2587.0,943.0,2119.0,954.0,2019
171,160010024102,2473.0,835.0,1854.0,1347.0,2019
172,160010104022,2605.0,1069.0,2056.0,1225.0,2019
173,160010105011,7924.0,834.0,7382.0,1157.0,2019
174,160010001002,874.0,651.0,823.0,318.0,2019
175,160010005004,1491.0,687.0,1292.0,841.0,2019
176,160010005003,1123.0,550.0,999.0,712.0,2019
177,160010005005,1209.0,519.0,834.0,694.0,2019
178,160010014002,1110.0,547.0,943.0,560.0,2019
179,160010014003,1423.0,592.0,954.0,593.0,2019
180,160010017002,2113.0,839.0,1514.0,804.0,2019
181,160010017003,1713.0,790.0,1434.0,973.0,2019
182,160010102231,3333.0,1636.0,2925.0,1644.0,2019
183,160010006006,1194.0,785.0,999.0,686.0,2019
184,160010006001,977.0,507.0,748.0,541.0,2019
185,160010008031,673.0,379.0,604.0,297.0,2019
186,160010008033,1033.0,405.0,814.0,530.0,2019
187,160010008034,1841.0,770.0,1505.0,930.0,2019
188,160010012011,1773.0,786.0,1476.0,847.0,2019
189,160010022212,1622.0,643.0,1292.0,941.0,2019
190,160010022211,2858.0,1098.0,2252.0,1154.0,2019
191,160010024111,1759.0,662.0,1403.0,754.0,2019
192,160010024112,1169.0,459.0,934.0,666.0,2019
193,160010024131,2707.0,806.0,2197.0,1302.0,2019
194,160010024134,979.0,264.0,726.0,328.0,2019
195,160010024133,1511.0,700.0,1225.0,725.0,2019
196,160010103221,2252.0,807.0,1677.0,1026.0,2019
197,160010103313,7209.0,2229.0,4846.0,2747.0,2019
198,160010022221,6833.0,2430.0,4842.0,2904.0,2019
199,160010023121,3743.0,1431.0,3053.0,1938.0,2019
200,160010103354,2416.0,953.0,2070.0,865.0,2019
201,160010103132,6826.0,2435.0,5278.0,3287.0,2019
202,160010001003,1851.0,1378.0,1579.0,675.0,2019
203,160010006004,929.0,332.0,719.0,360.0,2019
204,160010103222,1590.0,781.0,1354.0,809.0,2019
205,160010002013,840.0,387.0,692.0,389.0,2019
206,160010007011,2243.0,915.0,1796.0,990.0,2019
207,160010103353,4626.0,2556.0,3727.0,1632.0,2019
208,160010102253,1841.0,930.0,1714.0,652.0,2019
209,160010023131,2825.0,1191.0,2207.0,1221.0,2019
210,160010022242,3693.0,1235.0,2999.0,2099.0,2019
211,160010105042,2181.0,897.0,1753.0,1075.0,2019
212,160010008051,2209.0,954.0,1752.0,930.0,2019
213,160010003042,2993.0,1314.0,2351.0,1604.0,2019
214,160010102232,3724.0,1931.0,3354.0,1625.0,2019
215,160010012023,2783.0,1440.0,2312.0,1375.0,2019
216,160010015002,1206.0,523.0,946.0,784.0,2019
217,160010024101,1512.0,513.0,1168.0,693.0,2019
218,160010024121,2174.0,922.0,1649.0,853.0,2019
219,160010104021,10303.0,3681.0,7756.0,5294.0,2019
220,160010001001,970.0,777.0,868.0,609.0,2019
221,160010005001,1671.0,801.0,1292.0,876.0,2019
222,160010005002,662.0,326.0,562.0,386.0,2019
223,160010014001,1306.0,797.0,1183.0,876.0,2019
224,160010017001,727.0,380.0,599.0,517.0,2019
225,160010023022,3554.0,1456.0,2908.0,1980.0,2019
226,160010103331,3409.0,1332.0,2337.0,1391.0,2019
227,160010016003,742.0,346.0,641.0,389.0,2019
228,160010019003,1377.0,585.0,1117.0,734.0,2019
229,160010010004,758.0,389.0,758.0,440.0,2019
230,160010010003,1670.0,751.0,1361.0,765.0,2019
231,160010018003,1611.0,800.0,1318.0,889.0,2019
232,160010008024,2477.0,1011.0,1984.0,1254.0,2019
233,160010006003,541.0,312.0,459.0,392.0,2019
234,160010006002,977.0,648.0,906.0,463.0,2019
235,160010006005,759.0,352.0,571.0,362.0,2019
236,160010008032,773.0,296.0,668.0,489.0,2019
237,160010012012,1568.0,626.0,1236.0,622.0,2019
238,160010022213,4668.0,1838.0,3991.0,2490.0,2019
239,160010024113,2361.0,968.0,1971.0,1108.0,2019
240,160010024132,3399.0,1303.0,2574.0,1303.0,2019
241,160010101001,8973.0,3268.0,6776.0,3732.0,2019
242,160010103223,3163.0,1410.0,2498.0,1518.0,2019
243,160010004001,897.0,376.0,634.0,474.0,2019
244,160010004002,1725.0,865.0,1551.0,1186.0,2019
245,160010009001,2799.0,507.0,2755.0,1209.0,2019
246,160010009004,1521.0,632.0,1348.0,894.0,2019
247,160010023101,1699.0,774.0,1411.0,750.0,2019
248,160010102011,1263.0,538.0,1226.0,586.0,2019
249,160010021001,378.0,188.0,290.0,163.0,2019
250,160010102241,4755.0,1593.0,3673.0,1820.0,2019
251,160010008021,660.0,421.0,644.0,349.0,2019
252,160010103211,5038.0,2053.0,3934.0,2548.0,2019
253,160010003022,2127.0,967.0,1739.0,954.0,2019
254,160010011001,1551.0,885.0,1330.0,753.0,2019
255,160010103311,16632.0,5994.0,12581.0,7054.0,2019
256,160010103334,3504.0,1581.0,3120.0,1732.0,2019
257,160010024122,2042.0,1185.0,1773.0,812.0,2019
258,160119501003,2389.0,819.0,1745.0,967.0,2019
259,160119505002,1596.0,680.0,1153.0,769.0,2019
260,160119505004,1282.0,524.0,942.0,463.0,2019
261,160119505001,2556.0,998.0,1969.0,1153.0,2019
262,160119504005,1926.0,584.0,1322.0,843.0,2019
263,160119504002,1376.0,663.0,1012.0,601.0,2019
264,160119506003,1135.0,441.0,838.0,242.0,2019
265,160119505003,2083.0,854.0,1582.0,1155.0,2019
266,160119504001,2091.0,773.0,1726.0,959.0,2019
267,160119507001,1894.0,603.0,1391.0,838.0,2019
268,160519603002,841.0,450.0,707.0,522.0,2019
269,160519601001,1508.0,630.0,1199.0,611.0,2019
270,160519602003,1595.0,560.0,1289.0,812.0,2019
271,160519604001,1428.0,609.0,1073.0,667.0,2019
272,160519604004,5673.0,1698.0,3758.0,2220.0,2019
273,160519603004,3213.0,811.0,2183.0,1400.0,2019
274,160519603003,2809.0,860.0,1949.0,1303.0,2019
275,160519604003,3006.0,864.0,1867.0,914.0,2019
276,160759604002,2172.0,834.0,1502.0,755.0,2019
277,160399601001,306.0,820.0,297.0,82.0,2019
278,160399602001,1895.0,858.0,1654.0,873.0,2019
279,160659503023,2206.0,928.0,1826.0,1064.0,2019
280,160659503014,1025.0,196.0,1013.0,433.0,2019
281,160659504002,1693.0,567.0,1292.0,787.0,2019
282,160659504003,1743.0,458.0,1137.0,605.0,2019
283,160659501001,2309.0,661.0,1645.0,859.0,2019
284,160659505002,1800.0,526.0,1241.0,637.0,2019
285,160659505001,1369.0,377.0,1029.0,643.0,2019
286,160659505003,1703.0,378.0,1061.0,700.0,2019
287,160659502002,1852.0,646.0,1459.0,869.0,2019
288,160659502003,980.0,340.0,688.0,450.0,2019
289,160659503021,1728.0,1381.0,1728.0,708.0,2019
290,160659503024,1792.0,998.0,1635.0,1126.0,2019
291,160659503022,8126.0,2696.0,5910.0,3865.0,2019
292,160659503012,973.0,558.0,904.0,645.0,2019
293,160659502001,1770.0,637.0,1446.0,664.0,2019
294,160659503015,770.0,368.0,577.0,275.0,2019
295,160659503013,163.0,0.0,163.0,18.0,2019
296,160659504001,3095.0,1140.0,2223.0,1203.0,2019
297,160659501002,1556.0,471.0,1001.0,549.0,2019
298,160459601001,1765.0,662.0,1349.0,487.0,2019
299,160039502002,933.0,439.0,786.0,268.0,2019
300,160050004001,3738.0,1091.0,2462.0,1376.0,2019
301,160050012003,1667.0,547.0,942.0,590.0,2019
302,160050010002,1211.0,450.0,951.0,473.0,2019
303,160050010001,1236.0,559.0,939.0,544.0,2019
304,160050003003,2201.0,1182.0,1832.0,1026.0,2019
305,160050006002,2295.0,708.0,1809.0,747.0,2019
306,160050013003,711.0,397.0,606.0,377.0,2019
307,160050013001,726.0,437.0,585.0,346.0,2019
308,160050017001,2720.0,1136.0,2369.0,1155.0,2019
309,160050017002,835.0,299.0,536.0,330.0,2019
310,160050011011,3283.0,1038.0,2264.0,1327.0,2019
311,160050011012,1917.0,697.0,1485.0,718.0,2019
312,160050011014,1107.0,423.0,818.0,539.0,2019
313,160050011013,1016.0,424.0,919.0,532.0,2019
314,160050011023,474.0,340.0,403.0,228.0,2019
315,160050011022,2159.0,683.0,1508.0,869.0,2019
316,160050011021,1322.0,452.0,1014.0,636.0,2019
317,160050016012,1285.0,812.0,1060.0,575.0,2019
318,160050007001,1630.0,638.0,1434.0,657.0,2019
319,160050007002,1333.0,701.0,1130.0,619.0,2019
320,160050007003,1339.0,363.0,1143.0,356.0,2019
321,160059818001,351.0,134.0,269.0,135.0,2019
322,160050014003,491.0,222.0,402.0,231.0,2019
323,160050014004,820.0,415.0,674.0,335.0,2019
324,160050015004,721.0,264.0,552.0,256.0,2019
325,160050015002,2157.0,901.0,1500.0,672.0,2019
326,160050015005,976.0,343.0,795.0,567.0,2019
327,160050016022,687.0,271.0,478.0,275.0,2019
328,160050016021,1694.0,805.0,1287.0,761.0,2019
329,160050005001,2029.0,682.0,1581.0,959.0,2019
330,160050002003,1325.0,518.0,1125.0,408.0,2019
331,160050003001,3737.0,1114.0,2474.0,1506.0,2019
332,160050009001,1988.0,878.0,1468.0,867.0,2019
333,160050008001,2570.0,1234.0,2162.0,1430.0,2019
334,160050016032,1957.0,717.0,1619.0,830.0,2019
335,160050014002,655.0,388.0,508.0,236.0,2019
336,160050014001,1049.0,391.0,852.0,533.0,2019
337,160050015003,874.0,369.0,644.0,293.0,2019
338,160050015001,1047.0,335.0,674.0,410.0,2019
339,160050016023,1495.0,554.0,1051.0,673.0,2019
340,160050002001,1206.0,330.0,862.0,432.0,2019
341,160050016031,981.0,519.0,772.0,460.0,2019
342,160050003002,840.0,318.0,602.0,245.0,2019
343,160050006001,1831.0,657.0,1654.0,696.0,2019
344,160050013002,1011.0,388.0,764.0,391.0,2019
345,160050009002,457.0,362.0,419.0,104.0,2019
