,beekin_id,latitude,longitude,baths,beds,sqft,posted_at,property_type,price,city,blockgroup,days_since_2014,trans_log_price
177,38e5b2c1e8,43.174617,-112.341951,3.0,4.0,2621.0,2022-06-14,1.0,2200.0,Blackfoot,160119504005,3086,2.0033814203422273
214,9be59e7182,42.549701,-114.436648,3.0,3.0,1451.0,2022-06-26,0.0,1799.0,Twin Falls,160830010002,3098,1.14813998236224
215,495e24a0d8,42.595931,-114.482763,2.0,4.0,2150.0,2022-06-30,1.0,2400.0,Twin Falls,160830007001,3102,2.3731924052914013
216,ab45f57563,42.582727,-114.497646,2.0,4.0,1590.0,2022-07-02,1.0,2295.0,Twin Falls,160830007002,3104,2.183058361486548
232,eaa0bce09c,47.814105,-116.894392,2.0,3.0,1140.0,2022-04-15,1.0,2300.0,Rathdrum,160550003021,3026,2.1923078649956196
233,244a5ede59,47.819158,-116.879715,1.0,3.0,1000.0,2022-04-15,0.0,1795.0,Rathdrum,160550003023,3026,1.138679443820591
413,e2818145c0,43.692966,-116.4733,1.0,2.0,873.0,2022-07-14,2.0,1395.0,Star,160010102012,3116,0.06717276281798679
609,7d74e0da5c,43.727145,-116.484255,2.0,3.0,1800.0,2022-06-27,1.0,2400.0,Star,160010102012,3099,2.3731924052914013
610,9517905a99,43.699323,-116.472811,3.0,4.0,2288.0,2022-06-28,1.0,2650.0,Star,160010102012,3100,2.7943431280380713
611,a1903ab1ba,43.699323,-116.472811,3.0,3.0,1896.0,2022-06-28,1.0,2395.0,Star,160010102012,3100,2.3643286999203834
612,3740ff7e21,43.71245,-116.495938,2.0,4.0,1860.0,2022-06-30,1.0,2195.0,Star,160010102012,3102,1.9937110061930525
613,ef43be9a19,43.700727,-116.501722,2.0,4.0,2025.0,2022-06-30,1.0,2400.0,Star,160010102012,3102,2.3731924052914013
614,f217f7fa84,43.700861,-116.496623,3.0,5.0,2779.0,2022-07-02,1.0,2800.0,Star,160010102012,3104,3.028355174917462
733,25973a180c,43.8304,-111.765719,1.0,2.0,800.0,2022-06-24,1.0,1195.0,Rexburg,160659504002,3096,-0.5905296813293901
734,4bf389870e,43.824462,-111.794678,1.0,2.0,1140.0,2022-06-28,3.0,1150.0,Rexburg,160659502002,3100,-0.7536682869294943
735,ac65ffd6c9,43.817116,-111.791936,2.0,3.0,1286.0,2022-07-01,3.0,1500.0,Rexburg,160659503024,3103,0.3756087435391392
736,8291ad8db3,43.841444,-111.772611,1.0,2.0,784.0,2022-07-01,3.0,1200.0,Rexburg,160659501002,3103,-0.5727837466337163
737,cf6f3bd76a,43.841444,-111.772611,1.0,2.0,784.0,2022-07-01,3.0,1150.0,Rexburg,160659501002,3103,-0.7536682869294943
738,b8b490c685,43.841444,-111.772611,1.0,1.0,680.0,2022-07-01,3.0,1000.0,Rexburg,160659501002,3103,-1.347676833355867
739,b7956f75d4,43.816848,-111.801091,2.0,2.0,1275.0,2022-07-01,0.0,1750.0,Rexburg,160659503022,3103,1.0307715131651962
740,2aa1e95887,43.838669,-111.775972,1.0,2.0,815.0,2022-07-02,1.0,1195.0,Rexburg,160659501002,3104,-0.5905296813293901
767,f92ae07262,47.788677,-116.900222,2.0,3.0,1520.0,2022-04-01,1.0,2795.0,Rathdrum,160550003011,3012,3.020758845486939
